NDVI,Slope,Elevation,Insolation,TWI
0.0881796777,46.255683899,257.48104858,12.447441101,3.11724138
0.1402055174,38.589794159,255.16130066,11.241219521,2.58602738
0.0568539836,34.012817383,221.04606628,10.837055206,1.98182499
0.0570039041,28.939884186,221.05903625,12.678278923,3.13407111
0.0568539836,24.182970047,224.50648499,14.940854073,1.98182499
0.0570039041,19.850502014,223.18984985,14.742085457,3.31839538
0.0288906395,14.34648037,269.75732422,19.308359146,3.13611221
0.0145998122,10.839661598,267.89596558,16.918796539,4.06914282
0.0585656911,15.446555138,270.30834961,17.771314621,3.05964065
-0.0075463853,11.351430893,269.50878906,16.218015671,3.3418107
0.0527123362,16.467723846,204.56764221,13.783054352,2.56792951
0.0654060245,13.767778397,203.99430847,15.332713127,2.51123261
0.0576016381,16.378883362,203.12156677,15.972762108,4.02549553
0.0761674792,8.0646038055,205.77192688,15.187573433,2.79094911
0.0527123362,3.1755244732,205.92221069,16.567806244,3.36699295
0.0654060245,7.0437736511,205.24183655,16.947345734,4.41830063
0.0576016381,10.310702324,204.11694336,16.277633667,4.46958113
0.0761674792,4.6660575867,205.9258728,16.311292648,3.50885415
0.0456776768,2.3581161499,205.94311523,17.97910881,5.34563637
0.0289266091,6.0661001205,205.14161682,18,4.00079012
0.017051775,13.637686729,205.74308777,12.50803566,4.19554996
0.0175121445,5.6927332878,222.13356018,18.466205597,3.57441282
0.0436926447,9.9582767487,222.08799744,18.5,3.13995814
0.0858287588,15.236949921,220.4239502,18.5,3.00283456
0.1178841144,8.8089199066,218.44374084,18.5,3.93897152
0.1288615465,6.1250896454,217.32432556,18.510416031,3.64981461
0.1172418296,7.1884818077,216.3059845,19,3.63912678
0.1083949283,3.4577102661,215.67173767,18.952234268,3.69718003
0.0330858901,4.9175400734,221.50837708,18.5,3.73468137
0.0674714446,7.94454813,220.73991394,18.5,3.48515844
0.1042828113,8.5822896957,219.33590698,18.5,3.68494964
0.1223138347,7.0788178444,218.08798218,18.5,3.93897152
0.1324845702,10.984768867,216.62776184,18.510416031,3.68559074
0.1301725805,8.8002386093,214.9831543,19,4.26889706
0.1104338318,7.05427742,214.91989136,19,4.19273281
0.0857420564,5.8804416656,215.22607422,19,3.93955255
0.047632847,5.2254362106,220.72579956,18.5,3.92898941
0.0679406598,6.1166415215,220.2565918,18.5,3.91427422
0.0905194655,7.6689286232,219.27928162,18.5,3.91416907
0.1156050116,9.9912557602,217.82601929,18.5,3.98253989
0.1249210686,16.37928009,215.7512207,18.5,3.68559074
0.1229069904,10.355302811,213.79582214,18.999391556,3.92304897
0.1029108614,11.736335754,213.30880737,19,3.78415394
0.0871713683,11.563017845,213.72987366,19,3.2947607
0.0902793333,15.498051643,212.75372314,19,3.2001462
0.0984705165,17.246185303,210.36682129,18.998350143,2.79449821
0.1155999154,24.823375702,206.43777466,17.72082901,2.55760169
0.0072343703,8.0773515701,219.86260986,18.5,3.78128314
0.0432448573,7.3009119034,219.82914734,18.5,4.17547846
0.0901269391,7.7343716621,219.07762146,18.5,3.76244688
0.1155375019,11.256180763,218.13597107,18.5,3.98923826
0.13299191,14.280525208,216.17625427,18.5,3.77432132
0.1323946416,17.905836105,213.63627625,18.5,3.76257014
0.0740668625,16.56480217,210.97926331,19,4.30207777
0.0839956552,15.924131393,211.76074219,19,3.1408453
0.1117597073,20.151165009,210.3908844,19,2.92043638
0.1165982559,27.445608139,207.57307434,19,3.14339209
0.1121508032,27.968772888,203.61656189,19,3.13251138
0.1128690615,26.20391655,199.92190552,19,3.01236963
0.074246794,6.4403924942,218.52886963,18.5,4.47531271
0.1100449562,7.2994918823,217.97758484,18.5,3.91420078
0.1283442676,10.886330605,216.98432922,18.5,3.98923826
