72722NDVIs,Slope,Insolation,DEM,TWI
0.1560903937,21.162858963,15,219.92185974,2.805022
0.1798994839,13.696496964,15,217.34461975,3.02669716
0.2125916928,14.789196014,15.489797592,215.34552002,3.40201163
0.2308080196,22.683517456,15.5,213.19538879,3.70365024
0.2623615265,20.187625885,15.5,210.77566528,4.35582209
0.2896797359,30.402496338,14.441064835,208.46990967,4.00245905
0.2808736265,29.069339752,15.453552246,204.91140747,3.53570056
0.273344487,22.697591782,15.494789124,202.78901672,3.13322067
0.2968332171,19.758335114,15.5,200.4974823,3.53095078
0.3123455644,21.399463654,15.5,198.81025696,4.49785376
0.297999084,13.020842552,15.5,196.67608643,4.33627748
0.2962400019,7.1360220909,15.5,195.31387329,4.03058052
0.3028945625,3.0655388832,15.745006561,194.66044617,4.57599068
0.2957469523,1.9450445175,16,194.32661438,4.69376516
0.2827817798,1.927183032,16,194.05049133,4.8536911
0.2728342712,2.3469929695,16,193.887146,5.21746397
0.2536504567,3.4155423641,16,194.06159973,6.30308914
0.2224335074,4.5170059204,16,194.53889465,5.77762318
0.1602696925,11.724412918,15,225.14297485,3.27431512
0.1643302739,19.377393723,15,222.39138794,3.08625627
0.1854177266,18.89589119,15,218.81056213,3.20305347
0.2063265592,13.191842079,15,216.44329834,3.37937665
0.2235432565,18.726963043,15,214.00733948,3.45828724
0.2407355607,22.431243896,15.01041317,211.01568604,3.5788517
0.2755275965,20.527236938,15.010195732,208.19953918,4.10975218
0.3090139031,29.555356979,13.530816078,205.1182251,4.12593651
0.31142205,20.597202301,14.999783516,201.01527405,4.17051268
0.2958199382,21.110214233,15,199.18739319,3.44074965
0.3007110655,16.814796448,15.015403748,196.98413086,3.29385018
0.2954367101,12.396522522,15.5,195.87141418,4.3395586
0.2649826407,4.3480763435,15.5,195.20657349,5.25447941
0.2760288417,3.1719875336,15.5,194.71307373,5.5668354
0.3010594845,1.7509338856,15.500216484,194.44534302,5.54118109
0.2993798852,1.7718939781,16,194.22689819,5.25049067
0.2888574302,2.1537868977,16,193.88298035,5.2556324
0.2675321102,0.9308544993,16,193.61975098,5.56702757
0.2529675364,1.8166278601,16,193.69523621,6.88575983
0.2346145213,4.6129212379,15.87501049,194.14807129,6.25420904
0.2110517323,1.9939491749,16,194.64520264,6.17117786
0.3314878941,1.5954930782,16.254989624,186.24436951,5.80801058
0.154720068,15.732067108,14.5,223.84080505,3.36166215
0.1904825121,19.107067108,14.5,220.76882935,3.42323756
0.2333643585,17.891860962,14.98459053,217.29658508,3.53848219
0.2474861145,18.611221313,15,214.59062195,3.66093826
0.2408769876,25.642324448,15,211.14964294,3.53769159
0.2467501462,23.377090454,15,208.01568604,3.4125452
0.2912240326,24.916835785,15,205.09431458,3.8064518
0.340041548,29.444652557,13.95142746,201.92913818,3.66802645
0.3426967561,20.685300827,15,198.60115051,4.05459547
0.3134672344,18.508594513,15,196.54376221,4.17960501
0.2750257552,9.036567688,15,195.06561279,5.06427193
0.2090014219,4.6594834328,15.129984856,194.68681335,6.00303555
0.1783040911,2.0511364937,15.5,194.6927948,6.12805653
0.243532151,1.446744442,15.484372139,194.55671692,6.10006809
0.2882629037,1.9554433823,15.489798546,194.33805847,5.38035393
0.2846602798,1.6537340879,15.989800453,194.14959717,5.0865407
0.2769768238,2.1848170757,15.874992371,193.83883667,5.17152357
0.2379114181,0.7880796194,15.754979134,193.55909729,5.68628263
0.2164803147,0.9287622571,16,193.52833557,6.01275158
0.2246391028,3.6319217682,16,193.7387085,6.73228598
0.2196908146,2.8097326756,16,194.2596283,6.48463011
0.3001474142,0.980791986,16,186.4806366,5.89283228
0.3271284401,0.6916999221,16.010416031,186.4143219,5.83194733
0.1637647301,13.577352524,14.010416031,223.30792236,3.14810276
0.2098352611,17.745452881,14.499782562,220.55014038,3.06191182
0.2684643865,19.233718872,14.5,217.16268921,3.04375887
0.2809030414,23.584880829,14.510415077,213.48199463,3.34818411
0.2536888421,21.485210419,14.999782562,209.51829529,3.68685818
0.2562201917,19.525814056,14.864798546,206.39491272,3.76421809
0.3005599678,18.390499115,14.630206108,203.38716125,3.75439024
0.333886683,19.186798096,14.515407562,200.14929199,3.84019494
0.3376890123,12.727953911,14.994791031,197.34455872,4.14629745
0.3283048868,8.7288532257,15,195.5524292,4.56822109
0.2655676901,3.6951658726,15,194.47923279,5.65688276
0.1431574523,1.2001750469,14.869789124,194.33308411,6.19160032
0.11125727,2.452157259,14.609802246,194.54794312,5.66844511
0.2054293752,12.078467369,12.541007996,195.48123169,4.15693331
0.2709165514,11.897467613,13.880202293,195.34889221,3.57389617
0.290743202,10.241342545,14.504990578,194.97840881,3.66577816
0.2848304212,6.8272385597,14.76518631,194.17977905,4.22705603
0.2058842629,3.3613369465,15.499782562,193.61566162,5.25546122
0.1352694929,1.40320611,15.749999046,193.32499695,6.01831198
0.1676692516,3.7903821468,15.995009422,193.50035095,7.37872982
0.2213627696,2.0905792713,16,193.94873047,7.19116831
0.2673436105,0.5977131128,16,186.64234924,6.12567568
0.2967995107,0.5857325196,16,186.55690002,5.94220924
0.3220326304,0.9990090728,16,186.53936768,8.35360909
0.1862199158,4.5074982643,13.515408516,223.2870636,4.01361799
0.16982539,13.190823555,13.989800453,222.09181213,3.60780668
0.2039200068,19.033391953,14.000217438,219.30473328,3.63215613
0.2653559148,21.302967072,14.489800453,215.78117371,3.62655234
0.2850436866,24.476202011,14.364796638,211.65339661,3.6985023
0.2677499354,20.630519867,14.5,207.74360657,4.02563
0.2763225436,18.291212082,14.5,204.28529358,4.1892395
0.2934290767,16.226909637,14.5,201.5131073,4.13640499
0.3009587824,15.32708931,14.5,198.94787598,4.39934254
0.3226917088,11.100277901,14.499782562,196.927948,4.87738276
0.343647778,6.2275681496,14.724616051,195.76341248,4.65258884
0.2978652418,8.1222314835,14.853735924,195.01855469,4.7108345
0.1914715022,9.9380846024,12.145410538,194.98765564,4.42232132
0.1451194882,22.004711151,10.411035538,195.84130859,2.72003436
0.1723482311,28.758646011,9.9277353287,198.71841431,2.56590223
0.2315807045,21.92868042,12.885191917,198.60694885,3.63745713
0.2969040871,20.166654587,13.999995232,197.70491028,3.84704995
0.2917198241,16.723167419,13.660809517,196.00737,3.60053635
0.204093203,12.919698715,15.000217438,194.40942383,3.50238752
0.0958951116,3.2661216259,15.500217438,193.21406555,5.72945118
0.1063317135,3.442363739,16,193.17225647,7.84326792
0.2069657892,2.6327998638,16,193.61294556,7.4556694
0.2429543287,2.913176775,16,193.61682129,7.07735586
0.3491212726,1.1875221729,15.995009422,187.83239746,4.83174467
0.361743778,2.7461488247,16,187.61726379,4.64014006
0.2974668741,3.2672512531,16,187.03695679,5.4279294
0.2685964108,1.2695453167,16,186.71522522,5.92899132
0.301058054,1.2207251787,15.994791985,186.68940735,6.27637577
0.3237879574,1.2449322939,15.990016937,186.76902771,8.60283756
0.1644549221,6.7824783325,13.234606743,223.25302124,3.30762792
0.1316476017,12.902635574,13.5,221.8855896,3.4946878
0.1702683121,18.450313568,13.984811783,218.95185852,3.62422061
0.2265134007,20.118001938,14,215.59272766,3.73662233
0.2505992353,19.74681282,14.36502552,211.8104248,3.73967171
0.2528439164,23.334018707,14.364808083,208.87524414,3.34441376
0.2621047199,20.564706802,14.5,204.47914124,3.30113053
0.2617017031,15.898514748,14.5,201.80848694,3.41103053
0.2721339166,12.826238632,13.880002022,199.81268311,3.51669335
0.3236107826,19.143955231,13.718980789,198.71044922,3.90324688
0.3684112728,20.285993576,12.50521183,198.1134491,3.88985372
0.3381873667,23.966594696,12.484392166,197.16282654,4.3571806
0.2405823916,32.366996765,8.5214996338,198.23600769,2.34358072
0.1683326364,30.919708252,9.4214286804,200.58215332,2.56792951
0.1545472741,17.295053482,13.505190849,203.21334839,2.51123261
0.2104872316,17.187465668,14.369783401,202.04994202,4.02549553
0.2823685706,23.139503479,13.634992599,200.96412659,3.98654437
0.2807361782,24.834423065,12.870239258,198.8134613,2.54839706
0.2293177694,26.420236588,14.614591599,195.70251465,2.34417892
0.1280972362,7.363474369,15.494791985,193.38809204,4.66121864
0.0858551562,1.4966257811,15.984374046,193.10223389,5.70887947
0.1826589107,0.9045555592,16,193.37228394,5.62633038
0.2668353617,1.9780763388,16,193.30763245,5.38285828
0.2750762701,7.5978288651,16.5,192.58943176,4.15231419
0.2761348188,13.360201836,16.099847794,190.56002808,4.13332129
0.3184885383,8.8722076416,15.5,188.72723389,4.08914137
0.374214828,1.6798424721,15.5,187.96482849,4.37517786
0.3643094599,2.1115117073,15.999782562,187.88322449,4.28013563
0.2989260256,3.4901940823,16,187.35855103,5.05189562
0.2774102688,1.9161604643,16,186.91433716,5.94634008
0.3039910793,1.3572843075,15.885205269,186.87605286,6.44542551
0.3229836524,1.080522418,16,186.98088074,8.74988079
0.155306533,16.461353302,11.645634651,225.14346313,3.02888632
0.1309122592,20.695173264,12.025829315,223.59657288,2.81246519
0.1480672211,27.846641541,12.156048775,220.80419922,3.14523363
0.179584682,32.991786957,12.431871414,217.94589233,2.43055582
0.2047552168,25.431230545,12.63564682,214.06913757,3.00121522
0.2058548629,33.388084412,13.510203362,211.76094055,2.41794872
0.2086139768,29.503967285,13.265658379,206.75511169,2.39078975
0.2251788974,22.906150818,14.344179153,203.64929199,2.85671163
0.2663839757,16.879003525,13.000217438,202.1980896,3.03865218
0.3292095363,16.869544983,13.468966484,201.68461609,3.72771978
0.3717746139,16.167375565,12.495005608,201.73550415,3.87282658
0.3449289799,20.244211197,12.979376793,201.68171692,4.02440834
0.2420261204,23.748813629,11.568322182,203.91069031,2.79094911
0.1570156664,17.716081619,12.900776863,205.26127625,3.36699295
0.1578906775,6.1369242668,15.484585762,205.06694031,4.41830063
0.202019766,7.662753582,14.734591484,204.10269165,4.46958113
0.2236221135,18.138460159,12.921038628,204.5243988,3.05150723
0.2380226851,26.680772781,13.458461761,203.99967957,2.53252244
0.2366725504,41.016639709,13.275413513,199.19540405,2.34521437
0.1757590175,17.653799057,14.750418663,194.82524109,2.48736978
0.1249690577,4.4646077156,15.385425568,193.42999268,4.93164587
0.1866760552,1.3009128571,15.994574547,193.4778595,5.23533869
0.2790501714,1.7816730738,15.640617371,193.59971619,6.23429012
0.2926009893,4.9643015862,16.135187149,193.48590088,6.0776825
0.2819311023,13.315727234,15.760222435,192.18113708,3.41697693
0.2999892831,14.71796608,15.5,189.81358337,3.31358027
0.3324647248,3.332408905,15.5,188.3180542,4.44039106
0.3326088488,1.7312231064,15.864813805,188.2339325,4.5492487
0.2998830378,4.3267149925,16,187.79501343,4.71148396
0.2855149209,3.1715476513,16,187.19065857,5.78559303
0.3014182746,0.9972612262,16,187.02786255,6.41444826
0.3148646355,0.8087009788,15.999783516,187.11810303,8.2572031
0.1676524133,5.7092394829,12.359605789,226.93614197,2.8935492
0.138331607,8.5672569275,12.63521862,225.47383118,2.63010931
0.1310826838,9.157948494,12.510190964,224.40296936,2.89366484
0.1519589573,24.979810715,13.504994392,222.23667908,2.39207006
0.188519001,20.851236343,12.635402679,218.5511322,2.65667844
0.2041631341,28.749494553,14.104367256,216.26858521,2.07606244
0.2080600709,28.326553345,14.109601974,211.33966064,2.04175544
0.2239003182,28.352783203,13.988960266,207.06971741,3.12436318
0.2747779191,18.655794144,13.020393372,205.293396,2.77382159
0.3400910199,14.128213882,13.859390259,203.80603027,3.35815978
0.372290194,9.7214517593,13,203.72962952,3.89618659
0.3477776945,9.1560907364,13.489583015,203.88893127,4.06426048
0.2664279938,9.3660240173,13.004984856,205.17221069,3.50885415
0.1969844103,1.5826827288,15.468966484,205.98205566,5.34563637
0.1998039186,4.4734225273,15.494794846,205.08406067,5.09659624
0.2097170204,9.4695396423,13.504817009,205.08894348,4.19554996
0.1888503432,15.061623573,12.71398735,207.22628784,2.87224364
0.2052565515,18.438331604,14.234589577,207.6089325,2.57919931
0.2276116461,40.271060944,13.520181656,204.04946899,2.32316971
0.2206768543,31.102897644,14.244818687,198.0194397,2.31138945
0.2200300247,12.167380333,15.495007515,194.17811584,3.43311715
0.2553938031,1.6399362087,15.75,193.67375183,5.08693647
0.3030723929,1.1904722452,16.479166031,193.79156494,5.19717503
0.3164899945,1.8888254166,16.479600906,193.84899902,5.68441486
0.3036071956,11.048262596,15.5,192.89833069,3.82192135
0.2811268568,16.552667618,15.5,190.47367859,4.20230436
0.2702697218,5.1154937744,15.5,188.63388062,4.58330154
0.2885468304,1.5386925936,15.5,188.31549072,4.73347139
0.3070024252,3.3347411156,15.999783516,187.89633179,5.1432333
0.3015541136,2.7450785637,16,187.42401123,5.65467596
0.3004769683,2.5134177208,15.500217438,187.29962158,6.62103128
