id,NDVI,Slope,Elevation,Insolation,Lat,Long,TWI,n,distance,feature_x,feature_y,nearest_x,nearest_y
"36177",0.106818154500000,15.496785164000000,212.754852290000002,19.000000000000000,7426724.72000000,388435.93170000,3.20014620,"1",0.000000000931323,388435.931700000015553,7426724.720499999821186,388435.931700000015553,7426724.720500000752509
"36178",0.098330751100000,17.244497298999999,210.367782589999990,18.998332977000000,7426714.72000000,388435.93170000,2.79449821,"1",0.000000000931323,388435.931700000015553,7426714.720499999821186,388435.931700000015553,7426714.720500000752509
"36179",0.106728583600000,24.821069717000000,206.438674929999991,17.720411300999999,7426704.72000000,388435.93170000,2.55760169,"1",0.000000000931323,388435.931700000015553,7426704.720499999821186,388435.931700000015553,7426704.720500000752509
"36389",0.054313112100000,7.332838058500000,219.576431270000000,18.500000000000000,7426804.72000000,388445.93170000,4.17547846,"1",0.000000000931323,388445.931700000015553,7426804.720499999821186,388445.931700000015553,7426804.720500000752509
"36390",0.087048329400000,7.734497547100000,219.078475950000012,18.500000000000000,7426794.72000000,388445.93170000,3.76244688,"1",0.000000000931323,388445.931700000015553,7426794.720499999821186,388445.931700000015553,7426794.720500000752509
"36391",0.129976972900000,11.255645752000000,218.136840820000003,18.500000000000000,7426784.72000000,388455.93170000,3.98923826,"1",0.000000000931323,388455.931700000015553,7426784.720499999821186,388455.931700000015553,7426784.720500000752509
"36392",0.147446259900000,14.280685425000000,216.177139280000006,18.500000000000000,7426774.72000000,388455.93170000,3.77432132,"1",0.000000000931323,388455.931700000015553,7426774.720499999821186,388455.931700000015553,7426774.720500000752509
"36393",0.157144054800000,17.257795334000001,213.637283330000002,18.500000000000000,7426764.72000000,388455.93170000,3.76257014,"1",0.000000000931323,388455.931700000015553,7426764.720499999821186,388455.931700000015553,7426764.720500000752509
"36394",0.164127215700000,11.411747932000001,211.637817380000001,18.540205002000000,7426754.72000000,388445.93170000,3.92304897,"1",0.000000000931323,388445.931700000015553,7426754.720499999821186,388445.931700000015553,7426754.720500001683831
"36395",0.165405958900000,15.246709824000000,210.806655879999994,19.000000000000000,7426744.72000000,388445.93170000,4.30207777,"1",0.000000000931323,388445.931700000015553,7426744.720500000752509,388445.931700000015553,7426744.720500000752509
"36396",0.141191244100000,15.919693947000001,211.762496950000013,19.000000000000000,7426734.72000000,388445.93170000,3.14084530,"1",0.000000000931323,388445.931700000015553,7426734.720499998889863,388445.931700000015553,7426734.720500000752509
"36397",0.118216164400000,20.153648376000000,210.392410280000007,19.000000000000000,7426724.72000000,388445.93170000,2.92043638,"1",0.000000000931323,388445.931700000015553,7426724.720499999821186,388445.931700000015553,7426724.720500000752509
"36398",0.117476180200000,27.452808380000000,207.576034550000003,19.000000000000000,7426714.72000000,388445.93170000,3.14339209,"1",0.000000000931323,388445.931700000015553,7426714.720499999821186,388445.931700000015553,7426714.720500000752509
"36399",0.124077372300000,27.983587265000001,203.619369510000013,19.000000000000000,7426704.72000000,388445.93170000,3.13251138,"1",0.000000000931323,388445.931700000015553,7426704.720499999821186,388445.931700000015553,7426704.720500000752509
"36400",0.129876047400000,26.214178085000000,200.649734499999994,19.000000000000000,7426694.72000000,388445.93170000,3.01236963,"1",0.000000000931323,388445.931700000015553,7426694.720499999821186,388445.931700000015553,7426694.720500000752509
"36609",0.080837175300000,5.090005397800000,218.590515140000008,18.500000000000000,7426804.72000000,388455.93170000,4.47531271,"1",0.000000000931323,388455.931700000015553,7426804.720499999821186,388455.931700000015553,7426804.720500000752509
"36610",0.110047541600000,7.294512271900000,217.978225710000004,18.500000000000000,7426794.72000000,388455.93170000,3.91420078,"1",0.000000000931323,388455.931700000015553,7426794.720499999821186,388455.931700000015553,7426794.720500000752509
"36611",0.151618495600000,10.880603790000000,216.985061650000006,18.500000000000000,7426784.72000000,388455.93170000,3.98923826,"1",0.000000000931323,388455.931700000015553,7426784.720499999821186,388455.931700000015553,7426784.720500000752509
"36612",0.162162274100000,13.592988013999999,215.166366579999988,18.500000000000000,7426774.72000000,388455.93170000,3.77432132,"1",0.000000000931323,388455.931700000015553,7426774.720499999821186,388455.931700000015553,7426774.720500000752509
"36613",0.166017681400000,18.299127579000000,212.380935670000014,18.500000000000000,7426764.72000000,388455.93170000,3.76257014,"1",0.000000000931323,388455.931700000015553,7426764.720499999821186,388455.931700000015553,7426764.720500000752509
"36614",0.157979250000000,14.534853934999999,209.861267090000013,18.500000000000000,7426754.72000000,388455.93170000,3.88756633,"1",0.000000000931323,388455.931700000015553,7426754.720499999821186,388455.931700000015553,7426754.720500001683831
"36615",0.133768707500000,21.630695342999999,207.758605960000011,18.540407180999999,7426744.72000000,388465.93170000,4.87387419,"1",0.000000000931323,388465.931700000015553,7426744.720500000752509,388465.931700000015553,7426744.720500000752509
